"Course Name","Department","Description","Hero Image","Default Grading Scale","description image","description text","tools"
"IOT2 : Déploiement des services sur des machines virtuelles","Informatique - IX","Maintenant que vous avez apris l'environnement de travail qui est linux, nous allons commencer les choses plus importantes encore qui est le déploiement des services sur des machines virtuelles...","/files/virtual-machine-software-windows-10-featured.jpg","","","",""
"IOT3 : Déploiement sur docker","Informatique - IX","Pour aller encore un peu plus loin, nous allons voir ensemble une technologie plus légère et plus avancée que les machines virtuelles elle se nomme docker.","/files/illu_docker_blog-52-1-1024x562.png","","","",""
"IOT4 : Infrastructure Iot","Informatique - IX","Dans ce cours nous allons nous familiariser avec les concepts et infrastructures qui tournent autour des objets connectés. Nous allons voir ensemble les différents objets connectés ensuite nous allons comprendre comment se fait l'interconnexion entre les différents objets.","/files/oT-infrastructure-cloud-architecture.png","","","",""
"IOT5 : Développement Iot","Informatique - IX","Nous allons étudier dans ce cours les contraintes du hardware (Matériel) et les possibilités offertes par le cloud, afin de proposer et de concevoir des applications et des logiciels pour objets connectés.","/files/iot-dev.jpeg","","","",""
"BD1: Large scale data processing","Informatique - IX","","/files/large-scale-data-processing.png","","","",""
"BD2: Large scale data storage","Informatique - IX","","/files/large-scale-data-storage.png","","","",""
"BD3: Large scale data job scheduling","Informatique - IX","","/files/large-scale-data-scheduling.png","","","",""
"BD4: Large scale data streaming","Informatique - IX","","/files/large-scale-data-streaming.jpeg","","","",""
"BD5: Large scale data science","Informatique - IX","","/files/large-scale-datasciencel-250.png","","","",""
"Module 1: Graphic Design","","- Les outils de créativité <br>

 - Initiation à la création d'une identité visuelle ou d'une marque (à l'aide de logiciels libres et à code ouvert) <br>

 - Conception graphique pour tous sans frais supplémentaires<br>

 - Édition de journaux et de magazines<br>","/files/graphisme.jpg","","","",""
"Module 2: UX/UI Design","","- Méthodes, concepts, théories de conception UX <br>
 - Les phases d'une analyse UX <br>
 - Cas pratique : conception UX avec des outils<br>","/files/ux.jpg","","","",""
"Module 3: Video editing","","- Introduction  <br>
 - Traitement du son <br>
 - Animations vidéo <br>","/files/videoediting.jpg","","","",""
"Module 4 : 3D Animation","","- Introduction <br>
- Animation 3d avec des outils.","/files/3d.jpg","","","",""
"introduction au big data","BIG DATA - IX","","","","","",""
"Stockage des données a grande échelle","Informatique - IX","","","","","",""
"Traitement des données à grande échelle","Informatique - IX","","","","","",""
"Introduction and Reminder","Informatique - IX","","/files/reminder.jpg","","","",""
"Initiation a Mysql","Informatique - IX","Ce cours vous donne les bases sur mysql","","","","",""
"Initiation a ERPNext","Informatique - IX","Cours pour apprendre ERPNext","","","","",""
"Spring boot par la pratique","Informatique - IX","Ce cours va vous apprendre spring boot grâce a des projets concrets.","/files/spring2.png","","","",""
"Initiation a wordpress","Informatique - IX","Ce cour présente les bases sur l'utilisation de wordpress","/files/WordPress-512.png","","","",""
"Deploy DNS","Informatique - IX","","","","","",""
"Module 1: Cryptographie","Informatique - IX","","/files/crypto.jpg","","","",""
"Module 2: IAM (  Identity and Access Management )","Informatique - IX","","/files/fingerprint-2904774_1920.jpg","","","",""
"Module 3: PKI (Private Key Infrastructure)","Informatique - IX","","/files/ssl-2890762_1920.jpg","","","",""
