"Program Name","Department","Program Abbreviation","Is Published","Allow Self Enroll","Is Featured","prerequis","profils","Intro Video","Hero Image","Description","Video","video resume","ID (Courses)","Course (Courses)","Course Name (Courses)","Mandatory (Courses)"
"IOT : Internet des Objets","Informatique - IX","05-IOT",1,1,0,"","","","/files/internet-of-things-IoT.jpeg","L'Internet des objets désigne l'ensemble des infrastructures et technologies mises en place pour faire fonctionner des objets divers par le biais d'une connexion Internet. On parle alors d'objets connectés. <br><br>

Dans ce cours nous allons parcourir ces infrastructures et technologies et surtout nous allons développer des logiciels pour les faire fonctionner. ","","","704497b40b","Initiation à l'informatique professionnelle","Initiation à l'informatique professionnelle",1
"","","","","","","","","","","","","","7e44b464a9","IOT1 : Linux From Scratch","IOT1 : Linux From Scratch",1
"","","","","","","","","","","","","","ad091ab4e7","IOT2 : Déploiement des services sur des machines virtuelles","IOT2 : Déploiement des services sur des machines virtuelles",1
"","","","","","","","","","","","","","d94148d339","IOT3 : Déploiement sur docker","IOT3 : Déploiement sur docker",1
"","","","","","","","","","","","","","b97b7591fe","IOT4 : Infrastructure Iot","IOT4 : Infrastructure Iot",1
"","","","","","","","","","","","","","0b82a00304","IOT5 : Développement Iot","IOT5 : Développement Iot",1
"Big Data","Informatique - IX","06-BD",1,1,0,"","","","/files/webpc-passthru.png","Ce cours s'adresse aux personnes ayant une première expérience en programmation et souhaitant s'orienter vers les métiers autour de la valorisation des données de masse.","","","1cbefbcd67","BD1: Large scale data processing","BD1: Large scale data processing",1
"","","","","","","","","","","","","","3837386e24","BD2: Large scale data storage","BD2: Large scale data storage",1
"","","","","","","","","","","","","","fb87e515d3","BD3: Large scale data job scheduling","BD3: Large scale data job scheduling",1
"","","","","","","","","","","","","","dc52419846","BD4: Large scale data streaming","BD4: Large scale data streaming",1
"","","","","","","","","","","","","","292ecdb484","BD5: Large scale data science","BD5: Large scale data science",1
"UX Design","Informatique - IX","05-UX",1,1,0,"Aucun","Tous les profils","","/files/uxdesiiiii.jpg","Suivez les cas concrets d'un processus de UX design en pratiquant sur les projets de la vie réelle.","","","b5b6252ee2","Module 1: Graphic Design","Module 1: Graphic Design",1
"","","","","","","","","","","","","","c6e743f3fe","Module 2: UX/UI Design","Module 2: UX/UI Design",1
"","","","","","","","","","","","","","d2418ae3e4","Module 3: Video editing","Module 3: Video editing",1
"","","","","","","","","","","","","","7bc118d26e","Module 4 : 3D Animation","Module 4 : 3D Animation",1
"Cybersécurité","Informatique - IX","07-Sécurité",1,1,0,"","","","/files/cyber-security-1805632_1280.png","","","","041f4afe8e","Module 1: Cryptographie","Module 1: Cryptographie",1
"","","","","","","","","","","","","","3c57d64174","Module 2: IAM (  Identity and Access Management )","Module 2: IAM (  Identity and Access Management )",1
"","","","","","","","","","","","","","23d79f34fd","Module 3: PKI (Private Key Infrastructure)","Module 3: PKI (Private Key Infrastructure)",1
"CAO / FAO","Informatique - IX","08-cao-fao",1,1,1,"","","","/files/computer-1373684_1920.jpg","Conception Assistée par Ordinateur / Fabrication Assistée par Ordinateur
<br><br>
<b>Coming soon</b>","","","","","",""
"Ventes de produits et services numériques","Informatique - IX","19-ventes",1,1,0,"","","","/files/ecommerce-2140603_1920.jpg","<b>Coming soon</b>","","","","","",""
"Initiation à l'informatique et au travail à distance","Informatique - IX","01-IT",1,1,0,"","","","/files/onboarding.jpg","Ce programme s’adresse à tous, quel que soit votre niveau y compris les débutants. Nous vous initierons aux bases du travail dans une équipe-projet et au sein d'un environnement totalement digital. Le télétravail, les méthodologies de travail en entreprise ainsi que les exigences du monde professionnel n'auront plus de secret pour vous.","","","8b7d8e879f","Prendre en main le bureau distant GATE","Prendre en main le bureau distant GATE",1
"","","","","","","","","","","","","","bde1f1f12f","Prendre en main le service de gestion de projet","Prendre en main le service de gestion de projet",1
"","","","","","","","","","","","","","58582f7e4a","Prendre en main la méssagérie instantanée","Prendre en main la méssagérie instantanée",1
"","","","","","","","","","","","","","5c5799b608","Prendre en main le service de visio-conférence","Prendre en main le service de visio-conférence",1
"","","","","","","","","","","","","","3c30269fe4","Prendre en main le DRIVE IREX","Prendre en main le DRIVE IREX",1
"","","","","","","","","","","","","","5e5d6d6b29","Prendre en main le service de plannification","Prendre en main le service de plannification",1
